customer_id,name,email,address,join_date,loyalty_points,phone_number,age,gender,last_update_time
1,Customer 1,customer1@example.com,26 Seattle St,2023-05-12 15:46:46,2253,+13051802512,26,Other,2024-01-22 14:50:25
2,Customer 2,customer2@example.com,759 Phoenix St,2022-03-21 14:38:54,712,+14536146025,20,Male,2024-05-11 09:38:53
3,Customer 3,customer3@example.com,239 Phoenix St,2022-03-14 18:36:21,4931,+16408938419,30,Other,2024-02-12 10:55:36
4,Customer 4,customer4@example.com,559 Houston St,2023-05-20 18:43:26,1805,+18224305450,35,Male,2024-05-16 04:24:40
5,Customer 5,customer5@example.com,715 Houston St,2023-08-13 09:11:40,2787,+13193448329,31,Female,2024-02-01 00:03:58
6,Customer 6,customer6@example.com,390 New York St,2022-03-21 09:20:15,2940,+15639960595,56,Female,2024-01-19 00:13:37
7,Customer 7,customer7@example.com,748 Houston St,2023-09-19 21:57:41,4392,+16831091576,42,Male,2024-01-09 10:29:37
8,Customer 8,customer8@example.com,850 Seattle St,2023-03-05 18:46:59,2962,+14479708607,63,Male,2024-02-26 22:18:35
9,Customer 9,customer9@example.com,234 Boston St,2022-02-05 14:13:42,2370,+16231494220,72,Male,2024-05-08 09:42:37
10,Customer 10,customer10@example.com,390 Chicago St,2023-11-05 00:25:34,3714,+19025211183,41,Male,2024-01-20 14:42:02
11,Customer 11,customer11@example.com,215 Seattle St,2022-10-15 12:40:24,2187,+19309262590,61,Other,2024-03-09 23:40:53
12,Customer 12,customer12@example.com,651 Los Angeles St,2022-02-25 11:02:21,4375,+15131575764,28,Female,2024-04-28 06:45:22
13,Customer 13,customer13@example.com,948 Seattle St,2022-10-22 17:33:43,4562,+17238207270,38,Male,2024-02-22 10:02:52
14,Customer 14,customer14@example.com,825 Chicago St,2022-06-27 21:45:55,3286,+13149938334,31,Other,2024-01-07 05:35:52
15,Customer 15,customer15@example.com,323 Los Angeles St,2023-11-12 16:40:35,4089,+17994193360,59,Female,2024-05-19 09:43:22
16,Customer 16,customer16@example.com,143 Los Angeles St,2022-04-21 23:19:10,4598,+14314889832,65,Other,2024-02-21 10:25:51
17,Customer 17,customer17@example.com,409 Chicago St,2022-11-29 18:35:07,1796,+16889097604,49,Male,2024-04-23 07:27:37
18,Customer 18,customer18@example.com,882 New York St,2023-08-11 00:48:02,1252,+14694860228,68,Other,2024-01-10 03:34:41
19,Customer 19,customer19@example.com,66 Houston St,2022-11-24 21:37:55,3126,+18854288585,47,Other,2024-04-25 19:28:03
20,Customer 20,customer20@example.com,882 New York St,2022-07-15 06:41:55,938,+19222891031,52,Female,2024-04-17 10:13:10
21,Customer 21,customer21@example.com,349 New York St,2023-08-20 23:43:07,2404,+13867302554,47,Male,2024-05-04 11:05:54
22,Customer 22,customer22@example.com,270 Phoenix St,2023-07-15 20:46:17,1463,+18475443484,24,Other,2024-05-19 17:57:18
23,Customer 23,customer23@example.com,520 Phoenix St,2022-08-20 19:24:50,1629,+12656439677,66,Male,2024-05-04 01:43:13
